	name	hematokrit	smoker	leukocyty	relationship	ssn	alt	weight	erytrocyty	alp	ast	er-cv	etytr	hemoglobin	trombocyty	indicator	hbver
21	Erica Johnson	5.83419	no	3.67918	nop	212-43-4130	1.07460	61.69228	7.61840	80.20038	36.32892	38.22882	6.24110	5.69698	3.41318	0.00000	6.78527
22	Julie Guzman	6.81736	no	10.16545	single	799-83-0308	0.85945	31.13965	7.52173	87.60593	55.41844	40.65412	7.37455	6.36737	7.47817	1.00000	8.35242
23	Holly Rivas	5.64213	no	4.99301	single	294-89-0623	2.06143	69.21325	8.63682	37.10210	49.40716	63.02882	6.49911	4.28108	6.30883	0.00000	
24	Donna Huerta	3.51117	yes	7.19010	single	564-22-5356	1.74118	78.87172	8.29668	60.00739	57.79620	61.35225	7.05458	7.55156	7.40919	1.00000	6.36877
25	Sheila Duke	5.11299	no	8.52153	divoced	403-21-8093	0.77460	71.45764	6.94097	89.68300	61.96610	35.09083	6.61649	6.37432	8.44406	1.00000	5.28541
26	Victoria Padilla	8.94112	Y	7.89672	married	355-44-4436	0.34095	61.89829	4.02128	82.55836	44.79994	54.51512	7.53614	6.38543	8.54401	1.00000	6.98542
27	Mark Morgan	5.42612	no	3.80182	separated	210-09-7116	1.28536	50.39390	8.16323	82.77401	59.28567	34.11658	6.86746	6.82396	9.18006	0.00000	5.94951
28	Paul Flores	6.29172	no	6.79592	married	606-98-0868	0.46810	125.03217	6.26561	86.01469	47.68803	43.96188	5.93783	6.02858	6.68611	0.00000	5.92089
29	Kirk Torres	6.41636	Y	5.79834	separated	593-19-8803	0.17336	12.58809	5.20405	83.59227	66.22036	36.85334	4.78047	5.55795	8.47513	1.00000	4.49078
30	Natalie Morris	7.43738	no	7.49081	widowed	857-15-8612	0.94802	93.73939	7.45175	79.19026	38.87492	34.20802	5.44914	6.85387	5.10997	0.00000	6.46311
31	Christopher Acosta	6.47419	yes	6.95319	single	788-27-0527	1.47775	62.51211	7.85988	71.89704	52.06726	82.38751	7.31093	7.27155	3.46455	0.00000	8.18500
32	Jackie Kaufman	6.63283	Y	7.58740	divoced	508-77-6342	1.30610	28.89839	7.78572	86.50184	75.04983	38.33242	5.07606	6.59762	3.65125	0.00000	7.27277
33	Jennifer Perry	4.72891	Y	6.92431	widowed	217-95-7455	0.84569	25.82569	7.10827	78.40612	55.04304	62.87963	7.08057	7.07114	11.27821	1.00000	5.42288
34	Cameron Wilson	8.15178	no	3.82291	single	044-03-0110	0.43054	74.40150	6.19284	67.13443	55.54968	63.58778	5.19843	7.38422	6.90686	1.00000	5.02183
35	John Flowers	6.51976	no	8.02264	single	397-71-9501	0.65933	54.07211	7.51185	60.97772	20.66098	49.62669	9.67486	7.36198	3.86418	0.00000	7.27357
36	John Mitchell	3.90371	N	3.21210	married	866-31-2548	2.59824	50.05810	8.83743	32.14310	53.40243		8.01131	8.40366	3.66185	0.00000	6.38732
37	Jon Grant	5.30323	Y	4.88087	divoced	446-99-2075	0.45572	126.41270	6.20630	54.67906	69.69858	55.66734	6.29872	5.00326	5.03661	0.00000	7.71259
38	Robert Johnson	7.42910	no	6.53860	married	209-97-3373	0.80575	73.51234	6.64583	69.99612	51.37259	69.47919	5.66785	6.97099	5.47712	0.00000	6.28366
39	Dr. Paul Davis	6.25189	Y	5.59096	married	330-62-9036	0.41167	84.61030	5.88214	84.12242	70.09560	48.34291	7.02940	6.58946	4.39413	0.00000	4.85851
40	Eric Davis	5.23251	no	9.68325	divoced	884-52-8569	0.99480	63.43767	7.92958	48.05795	50.41998	19.23741	6.33268	4.74706	7.49479	1.00000	6.58334
41	Wendy Alvarez	10.85879	Y	3.74668	single	095-26-2895	0.35788	35.98813	4.40732	41.44706	56.20389	67.03112	6.68312	7.94907	4.70219	1.00000	7.32147
42	Michael Jackson	8.93361	yes	5.89309	married	845-27-8099	0.63768	22.31972	5.76856	69.75246	52.55358	63.88254	5.91196	7.64482	8.09491	1.00000	7.02232
43	Kevin Lyons	5.30337	Y	5.80150	married	889-60-3032	1.10432	151.25801	7.67708	34.90205	49.24563	36.48162	6.52863	8.08842	6.10580	0.00000	5.23894
44	Molly Allen	9.75073	N	4.40275	single	118-38-2852	0.50817	53.33923	4.73778	70.77558	65.94849	45.02966	6.09023	5.52245	5.84108	1.00000	7.09903
45	Aaron Brown	6.04481	Y	5.57238	single	614-70-7287	1.17851	127.95636	7.47334	60.54524	69.51663	76.68354	6.77662	5.02107	9.98063	1.00000	4.37324
46	Angela Gibson	8.93529	Y	8.04265	married	436-08-3057	3.02386	42.03993	8.98384	87.57810	62.83426	31.08173		6.70798	6.13646	0.00000	6.47345
47	Valerie Baxter	6.15960	no	7.37302	single	211-59-8224	1.10654	82.17897	7.69720	40.74390	58.15176	61.65885	5.88093	4.59371	7.42307	1.00000	5.70624
48	Bobby Yang	7.72265	no	7.18886	widowed	668-12-6260	0.84152	57.38671	7.03040	57.50263	35.65042	69.19245	5.73690	4.85749	5.64781	0.00000	
49	Gregory Chung	5.39138	yes	4.57742	single	618-73-8189	0.52047	0.56637	4.82523	77.07411	52.81391	70.93574	4.95984	5.62631	7.05055	0.00000	5.27561
50	Linda Hill	4.81955	Y	3.54950	separated	470-35-8976	1.59331	46.57925	8.29816	66.74458	68.30202	59.62121	6.82427	7.45171	1.63955	0.00000	6.69203
51	Holly Frazier	5.24312	Y	6.80957	nop	090-57-4002	2.84808	40.00501	9.04567	89.57485	66.87694	51.98722	6.37678	6.26596	6.33463	1.00000	5.70989
52	Christopher Gardner	6.03642	no	3.81690	married	309-34-4425	0.60523	65.68414	6.63778	71.75906	79.03283	56.49630	11.42692	5.38989	2.71615	0.00000	6.44996
53	Ronald Martinez	6.40299	no	6.88483	nop	044-30-5888	2.67162	65.32324	9.07590	66.44321	45.92801	58.19634	6.81982	5.03067	6.00026	1.00000	5.39067
54	Austin Nixon	6.39769	Y	6.90784	separated	511-58-6267	0.34588	85.44878	5.61557	62.68791	51.82287	56.03554	6.20629	7.47900	9.74583	1.00000	5.24051
55	Holly Reynolds	4.74809	no	5.54264	married	485-21-2387	0.66104	43.21168	6.73105	69.35594	76.90631	63.41238	6.51794	5.29311	4.42318	0.00000	7.07641
56	Robert Taylor	7.51585	no	7.89593	married	206-97-9751	2.98724	19.89640	9.00886	60.13451	43.32850	32.71329	7.22343	5.02160	4.43158	1.00000	7.76876
57	Michael Jimenez	5.49556	yes	5.69918	married	539-40-2527	1.44351	28.17374	8.16864	88.43535	24.08190	55.61623	6.53507	6.84752	3.55789	0.00000	6.00408
58	Kimberly Huynh MD	7.50176	no	2.61739	separated	749-24-8742	0.99412	101.85698	7.07798	19.55549	47.79426	51.31552	5.82465	8.55839	6.73594	1.00000	7.07277
59	Jason Hall	6.10636	no	4.99552	divoced	198-50-0247	0.83924	105.06083	6.73356	86.19049	42.02081	43.80751	5.66534	6.38470	8.98122	1.00000	7.74392
60	Ann Bennett	5.16834	no	8.17088	divoced	321-41-5971	3.07798	43.06783	9.07121	81.29146	41.68854	54.35471	4.97547	5.46525	6.27225	1.00000	7.55926
61	Seth Hill	6.61902	Y	6.35828	single	100-08-3912	3.39478	60.56033	9.27319	64.96029	59.85371	65.77313	7.66208	7.29677	5.79658	1.00000	5.72127
62	John Baker	5.60600	no	9.02164	single	668-97-9878	0.77211	79.34880	6.74043	84.57365	47.15830	37.89909	5.49199	6.34503	8.56665	1.00000	6.24920
63	Wendy Lamb	5.68564	no	8.14317	divoced	378-65-8481	0.72243	68.66443	6.30790	88.27214	45.40738	75.15565	7.22655	6.55557	8.99648	1.00000	6.28007
64	Linda Bell	4.58613	no	7.03169	widowed	043-73-7474	1.24090	85.15075	7.76527	90.32129	62.43355	65.25230	6.18540	6.29341	7.65482	1.00000	6.47610
65	Theresa Martinez	5.36569	no	5.01921	nop	033-98-1410	0.79085	29.58841	6.86025	42.70780	57.90125	37.37112	7.06304	4.50136	6.36072	0.00000	5.91494
66	Alice Robertson	7.69668	Y	5.40964	widowed	632-97-4064	0.63921	25.18162	6.42192	76.37550	58.93753	62.95822	7.69259	6.99907	8.51151	1.00000	5.60510
67	Alicia Cooper	4.07783	Y	5.47171	separated	535-43-5141	7.00867	84.48214	10.00510	10.59048	51.90151	27.58517	6.55844	8.82624	5.07280	0.00000	6.41933
68	Alyssa Shaffer	6.46734	Y	7.67569	single	349-35-8454	0.52535	77.23508	5.01679	54.82018	12.62385	53.12468	6.67976	7.62247	9.94416	1.00000	7.51580
69	Donald Durham	4.87382	yes	6.92898	separated	111-41-9070	0.44308	46.48701	4.86251	78.31927	49.72197	48.11620	6.44388	5.75511	10.64041	1.00000	5.63226
70	Thomas King	5.87705	Y	3.52701	divoced	103-06-5364	0.32040	98.28274	6.08451	81.43256	58.84690	44.11756	6.93619	6.99650	7.29022	0.00000	6.94761
71	Todd Munoz	7.04482	Y	6.85609	separated	466-26-6662	0.63013	166.63223	6.72277	71.46300	46.43697	69.36569	6.08781	7.07981	4.88516	0.00000	5.93047
72	Cindy Mills	4.01815	no	4.43158	nop	829-97-2309	1.24769	81.33847	7.48615	58.40163	28.17221	63.31093	6.76157	7.68701	9.73697	1.00000	7.37616
73	Rebecca Guzman	6.95037	no	8.67135	single	804-87-1395	1.36974	93.97122	7.98250	78.58281	57.38214	17.36464	5.60279	5.77698	7.00985	1.00000	6.91346
74	Victoria Diaz	8.81576	no	4.52297	married	424-97-2508	0.69335	118.77327	6.33998	87.38298	49.52378	63.36740	5.83446	6.26756	7.42645	1.00000	7.15973
75	Jennifer Ramos	9.21720	Y	7.90686	divoced	023-23-6452	1.81692	68.51013	8.54577	85.85466	47.89571	64.32163	6.47216	6.35598	6.89276	0.00000	7.44059
76	Marco Taylor	6.98673	N	8.66296	single	196-46-2024	0.85316	48.34216	7.51468	85.80145	42.33877	57.88205	7.21603	6.30717	4.49708	0.00000	5.70286
77	Tamara Jackson	6.41122	yes	7.53326	divoced	757-69-2880	1.24066	121.78637	7.53549	60.58817	56.73257	40.35392	4.91260	5.03845	3.63427	0.00000	7.77974
78	Michelle Collier	4.58851	Y	5.41199	separated	564-83-5744	2.63637	15.90803	8.84807	38.56057	50.24275	63.75650	6.81798	4.25076	4.55211	0.00000	6.04197
79	Megan Diaz	8.41687	no	5.81087	divoced	098-02-9517	0.49786	65.43503	5.68177	74.73744	53.80501	44.25149	5.37997	5.45916	8.11027	1.00000	6.84725
80	Andrea Jones	6.36925	Y	4.68760	nop	224-71-4289	0.68411	78.28936	6.05277	51.00751	52.48994	30.37481	4.37135	4.61486	5.43892	0.00000	7.00975
81	Sheri Serrano	7.09904	no	5.00948	single	577-74-7879	0.71465	95.91441	6.31908	53.97508	39.40439	38.26463	8.57195	7.76408	8.38254	1.00000	5.76496
82	April Case	6.48461	Y	4.94510	married	132-46-6186	1.13723	100.67548	7.96617	89.28415	48.43062	39.09422	7.02235	6.10805	9.51169	1.00000	6.15870
83	Sydney Shaffer	4.73253	no	8.43306	single	351-09-1822	4.20869	100.94762	9.49831	63.20638	74.33573	80.89868	8.56469	7.49519	5.97517	1.00000	5.77930
84	Brittany Harrell	9.95874	no	5.47619	widowed	673-22-3404	0.30882	48.35319	4.61502	54.30399	54.64714	43.43593	6.39449	7.50073	6.60678	1.00000	7.25521
85	Ronald Taylor	6.30425	no	4.48404	widowed	303-47-4993	1.02890	40.71926	7.60129	88.55980	75.38514	48.42838	5.41690	6.03063	9.04027	1.00000	5.32064
86	Douglas Sanchez	3.62968	yes	6.98395	single	772-24-0902	1.45472	98.33247	8.09022	75.12059	40.49947	42.88533	6.32441	7.21562	7.59026	1.00000	7.00678
87	Stephanie Tucker	5.67912	no	7.31784	divoced	717-62-7162	3.28134	78.10412	9.20855	80.04614	41.36922	34.02022	7.06262	6.66781	6.11868	1.00000	7.05096
88	Daniel Ruiz	6.86844	no	8.54028	married	808-92-9611	2.06846	77.02329	8.46791	88.67780	38.50380	56.73455	6.20307	5.74674	3.75795	0.00000	6.31688
89	Heather Walker	5.57985	yes	7.61674	widowed	079-46-0795	1.31498	114.69302	7.93047	82.82280	50.40284	59.52521	6.72333	6.99538	7.39900	1.00000	9.52750
90	William Park	5.44547	no	9.00974	widowed	696-81-9758	0.65255	84.24735	6.97622	67.87063	40.87423	65.10264	6.50306	7.36136	8.35399	1.00000	7.48092
91	Sara Davis	5.25456	no	4.32897	married	554-61-5775	0.84508	101.58646	7.34485	74.56054	58.03701	51.68895	6.75626	5.32967	8.04621	1.00000	6.71299
92	Michelle Macdonald	3.41403	no	8.11500	divoced	697-09-6063	7.16527	22.29422	10.04535	68.84159	50.07696	46.69482	6.52795	7.33060	5.74233	1.00000	5.68718
93	Erica Johnson	3.41540	no	7.07571	widowed	212-43-4130	0.45508	74.31916	6.63531	84.08346	53.48619	53.72630	5.55624	6.04733	9.08333	1.00000	8.17348
94	Thomas Summers	4.50287	no	8.16066	divoced	737-50-0446	0.67505	96.95254	6.99094	88.64723	65.21247	68.96949	4.62536	6.09965	8.53786	1.00000	6.17842
95	Barbara Cox MD	7.64713	no	4.84689	separated	799-60-5764	0.50779	28.39119	5.22604	56.13206	44.85575	44.18764	5.35413	4.89287	7.21619	1.00000	6.87502
96	Joshua Green	5.36003	no	9.03270	nop	690-98-3098	2.79021	63.72451	8.84629	79.37469	54.85015	39.90323	5.22371	7.23278	6.57043	1.00000	6.19687
97	David Martinez	5.29146	no	5.58240	married	843-68-2863	0.52310	71.89867	4.91162	90.72560	65.24647	29.01066	4.52745	6.52730	8.49833	0.00000	6.18172
98	Christopher Galvan	5.02318	yes	5.03423	single	001-67-1131	1.01974	43.51819	7.61372	86.45951	44.83744	28.88010	6.28465	6.62930	7.74553	1.00000	5.06226
99	Kristen Williamson	5.39866	no	5.80210	divoced	332-85-1612	5.12871	54.39560	9.65319	81.40766	71.19415	39.95906	5.68338	6.58326	5.63808	1.00000	6.40842
100	Chad Chambers	6.82186	no	7.48603	married	298-98-2826	0.48623	93.70079	5.63056	67.12645	81.78965	22.80527	4.55121	5.30123	10.03649	1.00000	6.57182
101	Barbara Cruz	4.81879	no	5.63611	divoced	606-62-4108	0.74988	133.90046	7.59543	71.15455	42.48194	23.40285	7.14958	7.22354	4.55037	0.00000	6.77286
102	Brandon Wright	9.20600	no	5.46817	married	556-73-8112	0.34364	36.93239	4.50527	78.12379	67.51305	48.71497	5.56602	5.62917	6.89614	1.00000	7.13467
103	Anthony Berry	7.78308	no	3.74194	single	540-70-4880	0.26316	70.10941	5.10869	79.16754	42.36496	39.75479	6.59680	6.84443	6.18086	1.00000	6.44770
104	Daniel Lewis	6.31339	Y	4.45833	divoced	746-61-1975	0.44786	104.47908	5.52934	77.94467	45.52904	53.17163	6.64642	6.77054	7.70049	1.00000	5.04254
105	Debra Gross	6.40444	Y	6.86787	divoced	595-52-7646	0.96036	18.81369	7.20774	55.68665	45.71419	58.46670	6.88330	7.72746	7.85298	1.00000	8.59956
106	Maria West	4.68477	no	7.35736	single	599-50-5028	1.69808	11.92704	8.28844	77.02030	79.71365	46.80623	6.97864	6.96772	7.24303	0.00000	5.33631
107	Isaac Clark	4.84754	no	7.05239	married	896-93-9231	0.61698	56.62205	5.83310	34.42450	23.88180	39.83366	4.23526	8.22177	9.62670	0.00000	6.73106
108	Curtis Mann	6.38681	no	3.78182	married	042-29-5948	0.28857	132.66483	6.26912	88.09844	53.79168	58.32442	6.73774	6.77226	5.56685	0.00000	7.05761
109	Zoe Jacobs	7.65529	no	6.37118	divoced	370-93-7155	0.48589	119.11605	4.50325	56.58648	49.96490	37.23252	5.99697	4.73253	8.17114	1.00000	6.86511
110	Yvonne Gregory	6.69883	no	4.21567	nop	779-14-0679	0.73719	104.72439	6.76546	64.33280	43.96787	72.66318	5.89872	5.13016	8.16844	1.00000	6.64059
111	Michelle Gilmore	7.21068	no	5.80612	divoced	847-99-2069	0.71997	6.89538	5.69711	88.39657	68.26336	32.43517	4.46153	5.82216	8.57206	1.00000	7.61090
112	Jonathan Gordon	3.58477	no	6.26126	married	861-59-0245	4.50524	19.40268	9.53785	58.74800	50.60836	36.28045	9.30264	7.42558	6.17181	1.00000	6.09511
113	Meagan Lopez	5.60115	yes	5.13879	married	308-22-5646		78.25608	6.93266	82.41058	79.73652	41.33718	7.05977	6.69044	4.48404	0.00000	5.80804
114	Lori Patterson	5.85501	yes	7.37409	single	625-38-4738	0.59707	90.07013	7.18341	83.87543	69.79834	32.08700	6.37688	6.32757	7.96758	1.00000	6.25171
115	James Clark	9.39775	no	5.18284	divoced	448-97-4403	0.41705	100.58126	5.19157	55.70206	46.99276	56.42787	6.10677	5.04535	6.85484	1.00000	7.09265
116	Morgan Pham	7.57226	Y	10.03629	married	271-02-5334	0.52562	129.36076	6.43447	70.07724	38.71003	48.92124	5.67608	7.26257	8.40256	1.00000	5.45403
117	Bobby Williams	5.42127	N	6.92102	married	032-89-9071	1.39930	100.35711	8.04102		50.65049	77.40740	6.77935	5.07277	7.27562	1.00000	6.65157
118	Melissa Olson	8.73388	Y	4.30312	widowed	068-21-1766	0.35975	104.26807	4.86632	85.65279	58.55918	34.48319	5.78801	6.57384	6.25479	1.00000	6.77057
119	Breanna Garner	7.69820	yes	5.92537	separated	211-72-6582	0.95751	83.15228	7.14512	91.63402	36.36719	44.97320	6.16560	6.38772	7.64330	1.00000	5.91491
120	Daniel Lee	8.12904	no	6.21405	nop	431-72-6104	0.58267	56.44319	4.40103	72.47426	48.60191	51.42313	6.46729	7.38244	7.63546	1.00000	5.09638
121	Kurt Lopez	7.73073	no	5.98306	divoced	351-81-3646	0.66874	50.58147	4.93568	40.74472	50.92856	60.73864	7.16141	4.53533	8.01262	0.00000	4.78732
122	Francis Davis	5.27879	no	8.26367	nop	888-13-7657	14.50027	-17.70736	10.79258	84.42445	37.02511	71.01508	6.71120	6.56635	4.58789	1.00000	5.62255
123	Hector Kennedy	7.24803	no	6.26180	divoced	629-53-0154	0.51189	90.64637	5.78891	68.38305	63.67861	50.02417	7.91623	7.31837	8.98609	1.00000	5.16318
124	Cheryl Campbell	6.75226	no	5.28228	married	359-82-5343	0.60018	20.52152	6.19518	10.54567	64.11593	33.05099	6.28578	9.03894	8.65046	1.00000	5.41007
125	Tom Mason	7.65482	no	3.67637	married	076-06-4840	0.82431	47.45664	7.48550	44.22454	40.56936	24.95061	5.19907	7.97683	7.85193	1.00000	6.62813
126	Diamond Coffey	7.54191	N	3.01060	single	167-49-4098	0.45786	14.27334	6.63497	37.63187	56.45672	72.36092	6.09563	8.13027	6.71912	1.00000	7.02021
127	Jennifer Jarvis	7.78669	Y	5.74675	nop	668-14-9573	0.55822	62.10079	5.26930	82.79114	49.25232	26.20963	6.02659	6.09015	8.00807	1.00000	4.84379
128	Melissa Carlson	4.94659	no	5.20201	divoced	049-86-5491	1.59409	116.09749	8.44276	82.63665	27.98070	59.01084	6.80954	6.05672	3.75279	0.00000	7.80715
129	Michael Hatfield	9.97290	no	4.05266	single	046-45-0807	0.34321	50.93394	5.61941	92.42179	54.15677	72.42506	8.13391	6.20231	6.14054	1.00000	5.88096
130	Mr. Joseph Strong	5.52322	no	7.52953	divoced	391-26-9577	0.92508	43.38471	6.31597	88.02745	53.70737	49.78249	6.56886	6.76832	8.95856	1.00000	6.39642
131	Ms. Sarah Wright	9.49083	Y	4.75115	single	396-01-3434	0.49562	84.86933	5.16147	75.12888	45.22268	59.35648	5.31147	5.28563	6.41382	1.00000	6.45519
132	Chad Joseph	5.89267	no	5.95372	married	524-34-9559	0.87712	38.82659	6.98304	78.00328	56.71512	59.88973	5.56729	6.92250	2.91932	0.00000	7.16578
133	John Hunter	6.08385	Y	10.97045	divoced	140-26-9315	1.07313	47.01419	7.80606	71.05031	62.37960	46.37153	7.05495	5.40819	7.39961	1.00000	6.14892
134	Deborah Anderson	8.90300	no	4.51606	divoced	424-85-7836	0.34738	39.73152	5.69129	67.47410	52.68416	54.51607	7.94151	5.11705	6.90549	1.00000	6.05977
135	Brian Thomas	8.07579	no	7.01506	single	881-15-3667	0.45417	89.12007	7.13234	63.92997	49.24625	45.38813	5.00133	7.40065	6.21223	0.00000	5.40579
136	Kimberly Robinson	7.15328	yes	10.56091	single	777-91-8806	0.98169	72.45568	7.53550	65.67768	41.83087	82.27478	5.96869	5.34028	7.35586	1.00000	5.76914
137	Jennifer Moses	7.42498	no	6.13308	married	791-32-6037	0.67291	-14.94832	5.77381	88.86868	51.07782	48.77131	7.40489	6.03175	8.76175	1.00000	7.01417
138	Meagan King	5.91092	no	6.14201	widowed	405-98-3640	0.46703	161.67325	5.95082	46.87162	39.49047	51.59096	6.77530	4.75063	9.47444	1.00000	6.16703
139	Julie Kim	6.93224	Y	6.91777	single	848-17-4704	0.33130	66.79573	6.72264	78.42598	72.68937	23.05684	8.02504	5.61683	4.70872	0.00000	8.71153
140	Steven Johnson	10.13011	no	4.53715	married	576-40-7564	0.66424	14.34151	3.68169	72.12545	57.53479	48.77017	6.62499	5.45547	5.09127	1.00000	6.71434
141	Curtis Rollins	5.98038	no	7.86326	widowed	257-86-1907	0.79827	47.09986	6.85553	76.95517	36.47569	46.86382	5.10811	7.03525	8.31080	1.00000	7.49983
142	Katherine Cobb	7.01306	Y	3.74226	single	133-51-1645	0.49177	60.30198	6.71083	77.49408	56.70223	29.83138	7.22121	5.62289	7.64131	1.00000	5.74949
143	George Gonzalez	5.04266	yes	4.65170	single	772-30-3393	0.38330	91.22590	5.27492	92.39532	47.81449	22.39273	6.18422	6.22711	4.69027	0.00000	6.38122
144	Cindy Underwood	8.55059	no	7.44915	divoced	288-76-1472	2.26246	52.86753	8.80463	68.98724	50.12121	23.68448	7.19861	5.28455	5.82819	0.00000	5.18576
145	Shane Montgomery	8.18172	yes	7.04332	nop	493-87-7703	0.59826	55.88026	7.18094	85.85483	58.45545	36.88893	6.93640	5.93769	6.27046	0.00000	7.17635
146	Victor Thomas	6.02680	yes	8.67462	nop	081-04-3983	2.54214	13.30915	8.88629	87.53727	53.90434	51.49867	5.22390	5.97119	6.31456	1.00000	6.97079
147	Dana Miller	4.46384	no	2.93635	married	565-25-8794	3.21960	77.31219	9.22881	51.28617	48.73963	32.26581	6.39406	4.76463	3.02683	0.00000	7.51641
148	Kevin Rhodes	7.41350	no	6.35816	nop	465-82-7845	0.58018	19.60382	6.82190	91.82476	44.92321	44.38709	6.60090	6.54147	5.26880	0.00000	4.92355
149	Shannon Cuevas	7.21133	no	7.20379	widowed	120-96-3078	0.76369	88.17657	6.84089	90.46744	40.92166	49.97620	6.23314	6.19557	5.13504	0.00000	6.73966
150	Jeff Frost	5.25929	no	5.36729	nop	888-56-9732	0.46711	104.10092	4.77493	74.84247	70.62640	36.26160	5.67587	7.23391	8.18919	0.00000	3.46990
151	Natalie Wilcox	6.03505	N	8.17946	married	791-63-5556	3.86883	137.54027	9.35507	24.43018	49.83635	35.37301	7.69297	8.58271	2.01157	0.00000	7.64840
152	Erin Knapp	5.10700	Y	8.41890	divoced	166-19-6104	3.14430	39.17702	9.14325	87.26087	53.11787	22.53354	6.32553	6.58953	6.24256	1.00000	7.21993
153	Corey Chandler	5.44981	no	7.21514	divoced	736-65-5511	0.46401	95.81106	5.11649	86.52509	33.40596	31.31509	7.38461	6.00360	10.15520	1.00000	7.66224
154	Bryan Brewer	6.10828	N	7.71145	divoced	329-12-0494	0.77244	67.04160	7.05682	74.34883	45.41761	41.33906	6.27336	5.56604	3.52730	0.00000	6.97637
155	Lisa Gibson	4.36124	no	7.43092	widowed	675-19-4618	6.78970	70.39266	9.98571	61.14035	36.27909	58.23325	5.49486	5.10215	5.66079	1.00000	4.18779
156	Carlos Santos	6.32069	no	7.64452	married	729-72-6274	3.09949	68.17788	9.07718	81.78718	68.24245	46.83012	6.49890	5.79795	5.98798	1.00000	5.17788
157	Michael Ross	5.07547	yes	4.86808	widowed	593-71-9136	0.95707	132.99290	7.42179	88.46370	69.57838	22.23926	5.79564	5.88913	5.82292	0.00000	5.95315
